POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
SP,9,Sergio Aguilera,,Texas,ABL,MLB,01/20/1999,25,MEX,6' 7',235 lbs,Left,Right,2.0 Stars,2.5 Stars,Average
SP,14,Leo Aguirre,,Phoenix,ABL,MLB,08/31/1999,24,USA,6' 0',205 lbs,Right,Right,3.0 Stars,4.0 Stars,Average
SP,11,Curt Anderson,,San Antonio,ABL,MLB,12/29/1984,39,USA,6' 4',235 lbs,Right,Left,2.5 Stars,2.5 Stars,Very Low
SP,17,Tony Andrade,,San Luis Potosí,ABL,MLB,01/12/1999,25,MEX,5' 11',195 lbs,Switch,Right,2.5 Stars,3.0 Stars,Very Low
SP,8,Bryan Arias,,Naucalpan,ABL,MLB,09/02/1996,27,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,17,Donte Austin,,Calgary,ABL,MLB,10/01/1997,26,USA,6' 8',240 lbs,Left,Left,5.0 Stars,5.0 Stars,Very Low
SP,8,Jarrod Axon,,Vancouver,ABL,MLB,01/29/1991,33,USA,5' 11',195 lbs,Left,Right,3.5 Stars,3.5 Stars,Average
SP,5,Juan Badillo,,León,ABL,MLB,11/21/1997,26,MEX,6' 2',210 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,34,Phil Baer,,New York,ABL,MLB,10/02/1996,27,USA,6' 0',200 lbs,Left,Left,3.5 Stars,4.0 Stars,Very Low
SP,15,Fritz Balcom,,Texas,ABL,MLB,09/17/1994,29,CAN,6' 7',245 lbs,Switch,Left,2.5 Stars,2.5 Stars,Average
SP,14,Stephen Behr,,Vancouver,ABL,MLB,10/28/2000,23,USA,6' 0',200 lbs,Right,Right,2.5 Stars,3.0 Stars,Average
SP,9,Vic Bergman,,Chicago,ABL,MLB,08/21/1988,35,USA,5' 10',195 lbs,Right,Right,2.0 Stars,2.0 Stars,Average
SP,12,Josh Berry,,Mérida,ABL,MLB,05/20/1997,26,USA,6' 2',210 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,12,Brad Bovenzi,,Calgary,ABL,MLB,04/19/2000,23,USA,6' 4',210 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,24,Byron Bradley,,Chicago,ABL,MLB,01/21/2001,23,USA,6' 1',200 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
SP,8,Josh Bradley,,Guadalajara,ABL,MLB,04/09/1996,28,USA,6' 2',210 lbs,Right,Right,2.5 Stars,2.5 Stars,Low
SP,3,Nick Braun,,Quebec City,ABL,MLB,10/19/1995,28,USA,6' 2',215 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,31,Tyler Brent,,Victoria,ABL,MLB,03/09/1996,28,USA,6' 0',205 lbs,Right,Right,3.0 Stars,3.0 Stars,Very Low
SP,21,J.D. Brooks,,Acapulco,ABL,MLB,07/23/1996,27,USA,6' 0',200 lbs,Right,Right,2.0 Stars,2.0 Stars,Very Low
SP,25,Andre Brown,,Phoenix,ABL,MLB,02/18/1997,27,USA,5' 10',185 lbs,Right,Right,2.5 Stars,2.5 Stars,Very Low
SP,15,Bob Brown,,Mexico City,ABL,MLB,10/02/1996,27,USA,6' 1',205 lbs,Right,Right,2.5 Stars,2.5 Stars,Average
SP,16,Brian Buell,,Mexico City,ABL,MLB,08/26/2006,17,USA,6' 1',180 lbs,Left,Right,0.5 Stars,2.5 Stars,Very Low
